total_ambients,school,parceria,ambient
1,CORUJINHA IV,ASSOCIAÇÃO CORUJINHA,SALA DE ED. INFANTIL PROPRIA 
1,CRE-SER,CREIA - CENTRO DE REFERENCIA EM EDUCACAO IRMA ANGELA,SALA DE RECREACAO             
1,CRESCENDO COM ATITUDE II,CASAS - CENTRO DE APOIO A SAUDE E ASS SOCIAL,SALA DE ED. INFANTIL PROPRIA 
1,CRIA,ASS CULTURAL VITTA,BERCARIO
1,CRISTOVAO II,CENTRO DE TREINAMENTO DAS VIDAS - CT VIDAS,SALA DE ED. INFANTIL PROPRIA 
1,DANDINHA II,ASSOCIAÇÃO INFÂNCIA COM ALIMENTO E AFETO,BERCARIO
1,DANIEL COMBONI I,ASSOCIACAO DEHONIANA BRASIL MERIDIONAL,BERCARIO
1,DANIEL COMBONI I,ASSOCIACAO DEHONIANA BRASIL MERIDIONAL,SALA DE RECREACAO             
1,DESCOBRINDO TALENTOS,SERVICO COMUNITARIO DO ITAIM PAULISTA,SALA DE ED. INFANTIL ADAPTADA
1,DIVINEIA,ASSOCIACAO VIVER MELHOR DO JARDIM MIRIAM,SALA DE ED. INFANTIL ADAPTADA
1,DOCE ENCANTO,PROMOVE ACAO SOCIO-CULTURAL,SALA DE AULA PROPRIA         
1,DOCE INFANCIA III,ONG PLENO VIVER,SALA DE AULA PROPRIA         
1,EBENEZER,ACAO BRASILEIRA DE ASSISTENCIA E CONSCIENTIZACAO DA CIDADANI,SALA DE AULA PROPRIA         
1,EFRAIM,CRUZADA PRO INFANCIA,SALA DE ED. INFANTIL ADAPTADA
1,ELIZA BOTELHO BYINGTON,ASS BENEFICENTE DE APOIO A COMUNIDADE CARENTE UNIDA,BERCARIO
1,EMANUEL,INSTITUTO SOCIAL EDUCATIVO CULTURAL E DE TRANSFORMAÇÃO SOLID,SALA DE ED. INFANTIL PROPRIA 
1,ENCANTADO II,ASS BENEFICENTE MUNDO ENCANTADO,SALA DE ED. INFANTIL PROPRIA 
1,ENCARNACAO GIMENEZ MARTINEZ LUCAS,ASSOCIACAO BENEFICENTE CAVALCANTE,SALA DE ED. INFANTIL PROPRIA 
1,ERINICE SIQUEIRA TRUBER,CRUZADA PRO INFANCIA,BERCARIO
1,ESPACO DA COMUNIDADE I,FUNDACAO COMUNIDADE DA GRACA,BRINQUEDOTECA
1,ESPACO KAIROS JD. SANTA CRUZ,SOCIEDADE ESPIRITA TEREZINHA DE JESUS,BERCARIO
1,ESPACO KAIROS X,UNIAO DE NUCLEOS ASS DOS MORADORES DE HELIOPOLIS E REGIAO,SALA DE ED. INFANTIL PROPRIA 
1,ESPADINHA DE OURO,INSTITUTO ESTRELA GUIA,BERCARIO
1,ESPERANCA,ASSOCIAÇÃO DAS FRANCISCANAS FILHAS DA DIVINA PROVIDENCIA,SALA DE RECREACAO             
1,ESTRELA AZUL,ASS DOS MORADORES DE VILA REIS JARDIM PLANALTO E REGIAO,SALA PARA TV/VIDEO
1,ESTRELA DO AMANHA,FEDERACAO DE IRMAOS BENEFICENTE,SALA DE ED. INFANTIL ADAPTADA
1,ESTRELINHAS ALEGRES,ACAO SOCIAL COMUNITARIA DO LAGEADO JOILSON DE JESUS,SALA DE ED. INFANTIL PROPRIA 
1,ESTRELINHAS DO FUTURO,ACAO SOCIAL COMUNITARIA DO LAGEADO JOILSON DE JESUS,SALA DE AULA PROPRIA         
1,ESTRELINHAS DO FUTURO III,ACAO SOCIAL COMUNITARIA DO LAGEADO JOILSON DE JESUS,SALA DE ED. INFANTIL PROPRIA 
