dre,school,average_age
JT,LUIS GAMA,7.0
MP,UNIAO DE VILA NOVA I,7.0
CL,JARDIM KAGOHARA I,7.0
FO,ROSA E CAROLINA AGAZZI,7.0
SA,ARTHUR BAPTISTA DA LUZ,7.0
IQ,FRANCISCO ROQUETTI,7.0
FO,ANITA GARIBALDI,7.0
IP,ARMANDO DE ARRUDA PEREIRA,7.0
CL,PARQUE FIGUEIRA GRANDE I - ANDRE LUIZ JANUARIO,7.0
SA,AYRTON SENNA DA SILVA,7.0
PJ,AFONSO SARDINHA,7.0
CL,FRANCISCA JULIA DA SILVA,7.0
IQ,NOSSA SENHORA DO DIVINO PRANTO,7.0
CS,MARIA EUGENIA FAKHOURY,7.0
PJ,FERNANDO DE AZEVEDO,7.0
IQ,GLAUBER ROCHA,7.0
PJ,CONJ. RESIDENCIAL ELISIO TEIXEIRA LEITE,7.0
IP,JOAQUIM ANTONIO DA ROCHA,7.0
CS,CARLOS DRUMMOND DE ANDRADE,7.0
SM,JARDIM HELENA,7.0
CS,ORLANDO VILLAS BOAS,7.0
CL,CONJ. HABITACIONAL VALO VELHO,7.0
JT,9 DE JULHO,7.0
CS,JOAO CANDIDO,7.0
MP,MARIA QUITERIA,7.0
CL,GUARAPIRANGA,7.0
G,LAJEADO II,7.0
PE,SILVIO ROMERO,7.0
JT,RAIO DE SOL - AMELIA DINIZ ANTAS,7.0
JT,MARINA NOGUEIRA DE SOUZA MARTINS,7.0
PJ,SANTOS DUMONT,7.0
SM,CHARLES CHAPLIN,7.0
PJ,JARDIM FELICIDADE,7.0
FO,JARDIM MONJOLO I,7.0
PE,ALFREDO DA ROCHA VIANA FILHO - PIXINGUINHA,7.0
SM,ADEVALDO DE MORAES,7.0
FO,BATUIRA,7.0
SM,PESTALOZZI,7.0
PE,CORNELIO PIRES,7.0
CL,JARDIM NOVO SANTO AMARO - ALICE ALVES MARTINS,7.0
CL,DINAH SILVEIRA DE QUEIROZ,7.0
IQ,GLEBA DO PESSEGO,7.0
PE,AUGUSTO FROEBEL,7.0
CL,JANETE CLAIR,7.0
BT,FERNANDO PESSOA,7.0
CS,LUIZ GONZAGA DO NASCIMENTO - GONZAGAO,7.0
FO,VICENTE PAULO DA SILVA,7.0
IQ,CIDADE A E CARVALHO,7.0
G,ANTONIO PEREIRA LIMA,7.0
FO,BERTHA LUTZ,7.0
MP,LOURO ROSA,7.0
BT,PERO NETO,7.0
SA,VANDA COELHO DE MORAES,7.0
IP,HEITOR VILLA LOBOS,7.0
MP,OVIDIO DECROLY,7.0
G,MUNDO NOVO,7.0
G,JARDIM SAO PAULO,7.0
SA,CASIMIRO DE ABREU,7.0
PJ,EURIPEDES SIMOES DE PAULA,7.0
SM,ALFREDO VOLPI,7.0
PJ,CARMEN DA SILVA,7.0
IQ,CONJ. HABITACIONAL GOITI,7.0
IP,MONTESE,7.0
SA,SERGIO DUARTE MAMBERTI,7.0
JT,SAVA POPOVIC,7.0
BT,EMIR MACEDO NOGUEIRA,7.0
FO,ABELARDO GALDINO PINTO - PIOLIN,7.0
PJ,NOEMIA IPPOLITO,7.0
SM,CONJ. HABITACIONAL SAO FRANCISCO,7.0
CL,ANGENOR DE OLIVEIRA - CARTOLA,7.0
IP,MAE ACHIROPITA,6.0
FO,FREGUESIA DO O,6.0
PJ,SANTA MARINA,6.0
IQ,KALIXTO MENDES II,6.0
G,JARDIM SOARES II,6.0
G,OLGA BENARIO PRESTES,6.0
MP,CANTINHO DO TIO ESTEVAM,6.0
MP,LILIANE SANTANA,6.0
JT,DOCE INFANCIA IV,6.0
PE,CENTRO DE ASSISTENCIA SOCIAL BRAS MOOCA I,6.0
CL,JARDIM DOM JOSE I - RAQUEL TRINDADE,6.0
JT,CORA CORALINA,6.0
MP,CHACARA DONA OLIVIA,6.0
IP,SAO BENTO,6.0
MP,ODILIA ALVES ALMEIDA SANTOS,6.0
G,GERALDO MAGELA PERON,6.0
BT,TRES PASTORINHOS,6.0
G,VICENTE MATHEUS,6.0
CS,LUIZA SOPHIA ROSCHEL,6.0
CS,SAO LUCAS,6.0
PE,PENHA,6.0
G,LETICIA RIBEIRO PORTO,6.0
SM,PACHECO GATO,6.0
G,SERGIO LESSA DA FONSECA,6.0
IQ,ARICANDUVA,6.0
MP,SAO MIGUEL,6.0
IP,BARONESA DE LIMEIRA,6.0
FO,CONSOLATA,6.0
SA,ESPERANCA,6.0
G,MARIA MONTESSORI,6.0
IQ,VALE DOS SONHOS,6.0
G,ANJO RAFAELA,6.0
CS,NAVEGANTES,6.0
MP,VILA AIMORE,6.0
MP,CENTRO SOCIAL MARISTA ROBRU,6.0
CS,SANTA RITA,6.0
CL,CARMELO CALI,6.0
CS,JARDIM KIOTO,6.0
JT,CASA BATISTA DA AMIZADE,6.0
CS,MARCIA KUMBREVICIUS DE MOURA,6.0
PJ,EMMANUEL FILHO,6.0
PJ,MORRO DOCE,6.0
CL,ALICE ALVES,6.0
JT,CAROLINA MARIA DE JESUS,6.0
CL,JARDIM SAO LUIZ II,6.0
IP,SUZANA CAMPOS TAUIL,6.0
MP,JARDIM LAPENNA I,6.0
CL,PARQUE SANTO ANTONIO,6.0
CS,JARDIM IPORANGA,6.0
IQ,PARQUE DO CARMO,6.0
G,MARGARIDA MARIA ALVES,6.0
CL,JARDIM ANGELA - TULA PILAR FERREIRA,6.0
JT,NOVO MUNDO,6.0
CL,JARDIM KLEIN,6.0
PE,CIRANDA CIRANDINHA,6.0
CL,VILA DO SOL I,6.0
IQ,BIELZINHO,6.0
CL,CAMPO LIMPO,6.0
IP,CANTINHO DOS TESOUROS,6.0
CL,JARDIM DAS PALMAS,6.0
PJ,PINHEIRINHO DAGUA,6.0
PE,SHAMMAH KIDS,6.0
MP,CAMINHO DOURADO,6.0
MP,JOSE DIAS PEQUENO PRINCIPE,6.0
G,NOSSA SENHORA DE LOURDES,6.0
PE,KALIXTO MENDES,6.0
CL,JARDIM MACEDONIA,6.0
CL,PEIXINHO DE OURO,6.0
CL,IRAPARA,6.0
PE,CRISTAL,6.0
SM,JARDIM IMPERADOR,6.0
IQ,PARQUE SAVOY CITY,6.0
G,ELIZA BOTELHO BYINGTON,6.0
CL,LAZARA VEIGA CATELLANI,6.0
SM,RIO CLARO,6.0
MP,JARDIM RUTH,6.0
SA,CAMINHO DO MAR,6.0
CL,PARQUE DO LAGO,6.0
PJ,CORETO DE TAIPAS,6.0
MP,RECANTO DOS SONHOS,6.0
CL,JARDIM SAO LUIZ I,6.0
G,ADONIRAN BARBOSA,6.0
CL,ELIANA E SUA TURMINHA II,6.0
CS,O SEMEADOR,6.0
PE,JARDIM DA ALEGRIA,6.0
G,NEIDE KETELHUT,6.0
MP,PEQUENOS CRISTAIS,5.0
IP,CANTINHO DO BRYAN,5.0
MP,JARDIM CAMARGO VELHO,5.0
PJ,SONHO NOSSO,5.0
BT,LAR PAULO DE TARSO,5.0
PJ,CRIANDO SONHOS,5.0
PJ,BENEDITO BUENO,5.0
PE,JOSE MARIA,5.0
IQ,TATU BOLINHA,5.0
CS,PAULO FRANCISCO SECKLER PUCCA,5.0
IP,SAGRADA FAMILIA - ADBM,5.0
JT,JARDIM DOS PEQUENINOS,5.0
PE,CARMEN DIVA MARTINS,5.0
PJ,BERNARDO MENDES,5.0
SA,BRINCAR,5.0
MP,JARDIM SAO MARTINHO,5.0
MP,NOVO CRUZEIRO,5.0
PJ,LE COM CRE,5.0
JT,VILA GUSTAVO,5.0
G,EFIGENIA ANGELO GUILHERME,5.0
SA,ANNABEL FORMIGA,5.0
PE,VILA SILVIA,5.0
CS,NUCLEO JD DOS ALAMOS,5.0
PE,DIVINA PROVIDENCIA,5.0
SA,VOVO PAULINA,5.0
MP,BABY MARAVILHA II,5.0
PJ,PRIMEIRO PASSO,5.0
MP,VISAO EDUCATIVA,5.0
CS,CANAA,5.0
CL,WALTHER SOMMERLATH,5.0
G,ESPACO KAIROS KANOE,5.0
CL,PARQUE NOVA SANTO AMARO,5.0
IP,SAO BERNARDO,5.0
PE,GALILEU MENON,5.0
IP,ELOHIM ADONAI IV,5.0
PJ,ANJO FELIZ,5.0
BT,CIDADE DE GENEBRA,5.0
PE,ELOHIM,5.0
FO,VILA NOVA ESPERANCA,5.0
FO,MARIA HENRIQUE DE LIMA,5.0
IQ,CANTINHO DA LAURINHA,5.0
CS,ESTRELA DA MANHA,5.0
SA,PRISCILLA TELLES SIQUEIRA BALOTTA DE OLIVEIRA UNIDADE XI,5.0
IP,RUGRATS OS ANJINHOS II,5.0
G,ELZA NEGRO,5.0
SM,SANTO DIAS,5.0
CS,RECANTO DOS NAVEGANTES,5.0
MP,ESTRELA CADENTE,5.0
JT,FERNAO DIAS,5.0
G,QUERUBINS DA VITORIA,5.0
CS,PAOLA,5.0
IP,MONUMENTO,5.0
CL,ELFRIDA ZUKOWSKI JARDIM,5.0
PJ,ALFA E OMEGA,5.0
FO,VINTE E SEIS DE JULHO,5.0
CL,JARDIM MONTE AZUL,5.0
CL,JARDIM ROSA MARIA,5.0
CL,NOSSA SENHORA DO CAMINHO I,5.0
MP,JARDIM NAZARE,5.0
CS,MARIA DA CONCEICAO SANTANNA,5.0
PJ,CANTINHO VILA PERUS,5.0
IQ,LUZ DO TERCEIRO MILENIO I,5.0
SM,SANTA DULCE DOS POBRES,5.0
JT,SEMENTINHA DO AMANHA,5.0
SM,TEOTONIO VILELA,5.0
JT,DOCE INFANCIA II,5.0
IP,SITIO CARAGUATA,5.0
SA,CORACAO DO SOL,5.0
BT,LAR INFANTIL - ASA,5.0
CL,PENTAGRAMA V,5.0
SA,MONT SINAI,5.0
SA,SAGRADO CORACAO DE JESUS,5.0
IP,EDUCANDO,5.0
G,SEMEANDO O BEM II,5.0
CL,BOA ESPERANCA III,5.0
IQ,IMPERIO DAS CRIANCAS,5.0
JT,ASBEN III,5.0
IQ,JOAO FERNANDES IV,5.0
IP,LEAOZINHO,5.0
G,LUZ DO MUNDO,5.0
PJ,CISNE ENCANTADO CEI,5.0
IP,PAULA MARIA,5.0
JT,TIA HILDA DA SILVA,5.0
MP,CANTINHO DE LUZ,5.0
CL,ABILIO CESAR,5.0
SA,CRE SER III,5.0
PJ,EDNA LOUREIRO,5.0
PE,SAN MINIATO,5.0
IQ,JOAO BENTO DE CARVALHO,5.0
CL,PARQUE FERNANDA,5.0
IP,BELEM,5.0
SM,FILHOS DE BETEL ACAM,5.0
IP,LIU SHIE LIN,5.0
JT,VILA CONSTANCA,5.0
PE,TUTULANDIA,5.0
CS,JARDIM TRES CORACOES,5.0
SM,MATERNA,5.0
PE,VILA SAO FRANCISCO,5.0
FO,DOMINGOS DELGADO,5.0
SA,SANTA CATARINA III,5.0
G,JARDIM DA INFANCIA,5.0
SA,CRI ACAO III - ACQUARELA,5.0
CS,PEQUENOS GENIOS III,5.0
JT,FUTURO BRILHANTE V,5.0
CS,PAULINOEVA,5.0
IQ,LUGAR DE ALEGRIA,5.0
IQ,DIRCE MIGLIACCIO,5.0
FO,JULIA NORBERTO,5.0
PE,JOCELYNE LOUISE CHAMUSEAU,5.0
SM,QUINTAL DO BRINCAR,5.0
PJ,JARDIM RODRIGO,5.0
PJ,CATARINA KENTENICH CENTRO EDUCACIONAL CRECHE,5.0
CL,VILA PRAIA,5.0
PJ,QUERUBINS DA VITORIA II,5.0
IP,MARIA ANTONIETA DE CASTRO,5.0
PE,DIAMANTES,5.0
IP,IVETTE ATALLAH,5.0
IQ,JEOVA RAFA,5.0
CS,MARIA AMELIA GONCALVES,5.0
MP,ELZA VILLELA,5.0
SA,CELESTINA STEWARD,5.0
SA,NOSSAS CRIANCAS II,5.0
IQ,ESPACO CRIANCA REVERENDO EZEQUIAS DOS SANTOS,5.0
BT,DOM EMILIO PIGNOLI,5.0
CL,CASA BLANCA I,5.0
CL,MARIA IZABEL,5.0
MP,MUNDO ENCANTADO III,5.0
G,CIA DOS SONHOS III,5.0
MP,ESPACO DA COMUNIDADE VII,5.0
PE,HORIZONTE AZUL,5.0
G,LUCIA HELENA PRADO BARRETO,5.0
FO,CANTINHO DA SERRA II,5.0
IP,ZEZINHO,5.0
CL,JARDIM TRES ESTRELAS,5.0
CL,JARDIM NAKAMURA,5.0
MP,JORGE JONES,5.0
SM,PARQUE SANTA MADALENA,5.0
MP,VO ESTER II,5.0
CL,JARDIM AURORA,5.0
PJ,PIRITUBA,5.0
PE,KALIXTO MENDES III,5.0
PE,RELUZ,5.0
PE,MARIA AUGUSTA,5.0
CL,ANDAGUACU,5.0
IP,ANNA CANDIDA BRASIL NAVARRO,5.0
FO,OTAVIO RODRIGUES,5.0
CS,MALVINA FENUCHI,5.0
JT,CAMINHAR E PRECISO I,5.0
CL,PAULINO BRANCO MARTINS,5.0
CL,PAZ E ESPERANCA,5.0
MP,SONHO LINDO,5.0
CL,COHAB ADVENTISTA,5.0
SA,FILHOS DO SOL,5.0
CS,ALICE DE SOUZA LIMA,5.0
SM,ANUNCIACAO FERREIRA II,5.0
IQ,ABC AURORA II,5.0
JT,ESPERANCA PARA TODOS I,5.0
JT,MENSAGEM DE PAZ TERESA LISIEUX,5.0
FO,AGUA VIVA,5.0
MP,VO ZEFINHA,5.0
G,KADOSH,5.0
PE,BIJUJU,5.0
SM,PRINCESA LORENA,5.0
SA,DONA BELA,5.0
JT,MAURICIO GOMES,5.0
PJ,GUSTAVO DE SOUZA DORIGHELLO,5.0
SA,CRE SER I,5.0
CL,VOVO LOURIVAL,5.0
SA,LAR DA BENCAO DIVINA,5.0
MP,SAMARITANINHOS III,5.0
PJ,NOSSO ENCANTO,5.0
IQ,ESPACO DA COMUNIDADE VI,5.0
SA,NOSSAS CRIANCAS,5.0
CL,PAULO FONTAO FERRAZ,5.0
BT,MARIA TEREZA DE MACEDO COSTA,5.0
IP,LIRIO DA PAZ,5.0
JT,MARIA DA GLORIA BAUMGART,5.0
IQ,SANTA TEREZA,5.0
SM,CRESCENDO COM ATITUDE,5.0
PE,PRINCIPE DA PAZ,5.0
SM,MUNDO COLORIDO,5.0
CL,MUNDO ENCANTADO DA CRIANCA,5.0
CL,CRISTO LIBERTADOR II,5.0
G,MARINA MILLIET KIEHL,5.0
JT,IGEVE CONCHILIA,5.0
CL,OLIVEIRA,5.0
MP,CAMINHO DA FELICIDADE,5.0
FO,JARDIM DAMASCENO,5.0
IQ,PLENO VIVER II,5.0
SA,ABAYOMI II,5.0
MP,FLOR DO AMANHA,5.0
PE,PIMPOLHO,5.0
CL,JARDIM SOUZA,5.0
BT,LEON ALEXANDR,5.0
PJ,MENSAGEM DE PAZ,5.0
G,JARDIM SANTA ETELVINA,5.0
IP,EDUCADOR PAULO FREIRE,5.0
SM,ONDACAIMA,5.0
BT,CASA DA INFANCIA DO MENINO JESUS,5.0
G,ESPACO KAIROS VI,5.0
SM,FONTE DOS SONHOS,5.0
FO,JARDIM DOS FRANCOS,5.0
SA,IGUALDADE,5.0
PE,MARIA RITA,5.0
SA,THEREZINHA PIMENTEL PUCCA,5.0
CL,DONIZETE,5.0
IQ,CARRAO II,5.0
SM,ELIEL ROSA,5.0
IQ,ESPACO DA COMUNIDADE IV,5.0
CL,BRILHO DE LUZ II,5.0
SA,NOSSAS CRIANCAS - III,5.0
MP,CENTRO SOCIAL MARISTA IRMAO JUSTINO - CESOMAR,5.0
IP,JERICO,5.0
FO,CANTINHO DOS ANJOS,5.0
SA,PEQUENOS GENIOS-ESTRELA,5.0
MP,MENINOS DE OURO,5.0
CL,DONIZETE II,5.0
SM,NOSSA SENHORA DA PROVIDENCIA,5.0
G,PRISCILLA TELLES SIQUEIRA BALOTTA DE OLIVEIRA V,5.0
SM,DIVINEIA,5.0
IQ,ASAS DE ALGODAO,5.0
PJ,AQUARELA,5.0
CL,FAZENDA PEDRO E MARIA V,5.0
MP,MAYARA,5.0
IP,LAR DO AMOR CRISTAO,5.0
SA,HELENA IRACY JUNQUEIRA,5.0
CL,PEDRO E MARIA II,5.0
IP,JARDIM DA VOVO ANA,5.0
CL,PEROBEIRAS,5.0
CL,CAMINHAR VI,5.0
BT,PINHEIROS,5.0
SA,HENRIQUE FERNANDES,5.0
MP,CENT RECUP EDUC NUTRICIONAL II - CREN,5.0
FO,NANY APPLE KIDS,5.0
CL,HELENA CABRAL DE VASCONCELLOS FERRAZ,5.0
CL,CAMINHAR,5.0
CL,PARQUE SANTA MARGARIDA,5.0
IP,ESPACO DA COMUNIDADE XII,5.0
IQ,LINA E O BALAO,5.0
IP,FLOR DE LOTUS,5.0
PE,SAO VITO,5.0
SM,JARDIM ROSELY,5.0
CS,PEDRO HENRIQUE SIQUEIRA LIMA,5.0
CS,JARDIM SOMARA,5.0
IQ,CORDEIRINHOS DE CRISTO II,5.0
CS,PROJETO ANCHIETA,5.0
G,RAFA GIRE IV,5.0
SA,ANGELA MARIA FERNANDES,5.0
SM,SOL DO MEIO DIA II,5.0
SM,SANTA ANGELA,5.0
PE,PEQUENA LUZ,5.0
FO,PRISCILLA TELLES SIQUEIRA BALOTTA DE OLIVEIRA XIII,5.0
CL,PAULO E ADMAR,5.0
IP,CENTRO SOCIAL DA CRIANCA,5.0
SM,GOTA DE ESPERANCA V,5.0
G,ACOLHER I,5.0
CS,PARQUE AMERICA,5.0
PJ,NOSSA TURMA,5.0
SM,GOTA DE ESPERANCA IV,5.0
JT,LUZ DO SABER,5.0
SM,LUIZ GONZAGA DO NASCIMENTO JR.,5.0
PJ,EVA LUIZA ROSA,5.0
JT,MARIO DA COSTA BARBOSA,5.0
CL,SOLAR DOS UNIDOS II,5.0
SM,MARANATA II,5.0
MP,SONHO MAGICO,5.0
CS,JOVELINA ALVES FEITOZA,5.0
IQ,ESTRELINHA FELIZ,5.0
CL,AQUARELA DO SABER,5.0
SA,PARQUE DOROTEIA,5.0
IQ,DAMARIS CASTILHO,5.0
CL,NOSSA SENHORA DO CAMINHO II,5.0
IP,CASA DOM GASTAO,5.0
CL,JARDIM LUZITANIA,5.0
PJ,CARROSSEL,5.0
FO,QUERUBIM,5.0
JT,CEREJEIRAS,5.0
PE,ERA UMA VEZ,5.0
SA,LOURDINHA PINHEIRO II,5.0
IQ,SORRISOS DE CRIANCA,5.0
PJ,CANTINHO DA IMAGINACAO III,5.0
CL,JARDIM MARIA ALICE,5.0
PJ,JOAO PE DE FEIJAO,5.0
BT,NOSSO LAR II,5.0
CS,JARDIM REPUBLICA,5.0
IQ,DAMARIS CASTILHO II,5.0
FO,ALPS CACHOEIRINHA,5.0
IP,ACONCHEGO,5.0
PJ,ELISIO TEIXEIRA LEITE,5.0
PJ,SONHO ENCANTADO,5.0
PJ,PE COM PE,5.0
PJ,FILHOS DA FE,5.0
JT,VILA BASILEIA,5.0
G,BARBARA HELIODORA,5.0
BT,ESTRELINHAS DE PARAISOPOLIS,5.0
BT,SANTA TEREZA DE JESUS,5.0
IP,JARDIM CLIMAX II,5.0
IP,ESPACO KAIROS LIVIERO,5.0
JT,JARDIM SAO PAULO I,5.0
CL,MARITEL II,5.0
CS,PARELHEIROS,5.0
IQ,OLHAR INOCENTE,5.0
JT,JARDIM DAS PEDRAS,5.0
CL,ABELHINHA DOURADA I,5.0
CL,ESPERANCA DO SABER,5.0
SA,PEDREIRA,5.0
IP,MINERVINO RODRIGUES FERREIRA,5.0
IP,KANDINSKY - DIOGO NOMURA,5.0
CS,BRAZ E MARIA,5.0
IP,KATATAU,5.0
G,PEQUENINOS BRILHANTES,5.0
IQ,CARAMINHOLAS,5.0
JT,JOAQUIM SOUZA,5.0
PE,WENCESLAU GUIMARAES,5.0
IP,CRIACAO DE VALOR,5.0
JT,ASBEN SEKOIA,5.0
PE,BRINCAR E SORRIR,5.0
CL,JARDIM DOS REIS,5.0
CL,TERRA NOSSA,5.0
SA,MANTO AZUL,5.0
PJ,MISERICORDIA I,5.0
IQ,AGUIA DE HAIA,5.0
CL,ACUCENA JORGE LIAN,5.0
JT,TAPIRAI,5.0
BT,CHACARA DO JOCKEY,5.0
SA,MARIA ESTEFANO MALUF,5.0
JT,VILA MEDEIROS,5.0
IQ,ERINICE SIQUEIRA TRUBER,5.0
CL,SANTO ANTONIO - JARDIM DOM JOSE,5.0
CL,PEDRO SOBRINHO,5.0
G,ANJO RAFAELA II,5.0
PJ,SAO PEDRINHO,5.0
CS,JARDIM NOVO PARELHEIROS,5.0
JT,CAMINHO DO FUTURO,5.0
CL,CIA DOS SONHOS II,5.0
CS,LAURA PRADO,5.0
PJ,PALAVRA CANTADA,5.0
SM,COMUNIDADE FELIZ CRECHE,5.0
IP,NOVE DE JULHO,5.0
JT,JOAO DIAS,5.0
FO,MENSAGEM DE PAZ - KAROL WOJTYLA,5.0
CS,ANNABEL,5.0
G,CRIANDO RAIZES,5.0
IP,ESTACAO KIDS,5.0
CL,PENTAGRAMA II,5.0
IP,SAO JUDAS TADEU,5.0
SM,PIPAS II,5.0
PJ,RECANTO FELIZ,5.0
IQ,MAIS LEVE QUE O AR,5.0
CL,TURMA DA TOUCA VI,5.0
CL,PENTAGRAMA III,5.0
CL,MAE ZAZA - NUCLEO II,5.0
CL,SAO JOSE OPERARIO I,5.0
MP,LAPIS DE COR,5.0
MP,BERTELIM JESUS MOREIRA,5.0
PJ,REGINA SIMOES,5.0
JT,SAVIC,5.0
CL,ALICE ALVES II,5.0
MP,CIDADE PEDRO JOSE NUNES,5.0
G,FAZENDA DO CARMO,5.0
CL,CRISTO LIBERTADOR I,5.0
CL,ESPACO CRIANCA,5.0
SM,ESPERANCA E VIDA,5.0
PJ,SANTA CATARINA,5.0
CS,AS PRINCESAS,5.0
IP,KURT LENHARD,5.0
SM,HAVILAH,5.0
CS,VALENTINA FERREIRA,5.0
JT,ANA MAE BARBOSA,5.0
FO,VILA RICA,5.0
PJ,EDUCAR BRINCANDO,5.0
SM,JARDIM VILA CARRAO,5.0
PE,MEU LARZINHO,5.0
FO,LAR DA VITORIA,5.0
MP,ALGODAO DOCE,5.0
MP,CORES E DIVERSAO,5.0
JT,MARIA HENRIQUETA CATITE,5.0
CL,BOA ESPERANCA I,5.0
PE,AMERICO DE SOUZA,5.0
CL,DONA DIVA I,5.0
SA,CARROSSEL ENCANTADO,5.0
FO,REGGIO EMILIA,5.0
PE,SAO LUIZ,5.0
PE,PARI,5.0
SA,VOVO MIRA,5.0
IP,JOSEFA JULIA,5.0
JT,PEROLA BYINGTON,5.0
SM,PEQUENINOS DO AMANHECER,5.0
G,ESPACO KAIROS IV,5.0
SA,BEM TE VI,5.0
SA,VILA ERNESTINA,5.0
MP,VO ESTER,5.0
JT,EDITE FERNANDES,5.0
PJ,GABRIELA MISTRAL,5.0
CL,ARTE DE APRENDER,5.0
JT,BIANCA BABY,5.0
JT,HORTO FLORESTAL,5.0
SM,PEQUENOS DA AMERICA,5.0
SA,MONT SINAI III,5.0
JT,PEDRO APOSTOLO,5.0
JT,RAIO DE SOL III,5.0
G,BARRO BRANCO III,5.0
FO,JARDIM MONTE ALEGRE,5.0
IQ,AVENTUREIROS MIRINS,5.0
IP,BRAZILIA LACERDA DE ARRUDA BOTELHO,5.0
PJ,EVA LUIZA ROSA II,5.0
IQ,ARAUCARIAS,5.0
JT,RAIO DE SOL II - MESTRE PAULO FREIRE,5.0
CL,GIRASSOL,5.0
PJ,SANTANA,5.0
MP,ESPACO DA COMUNIDADE VIII,5.0
IQ,MONTE CARMELO II,5.0
IP,LAR NOSSA SENHORA DA CONSOLACAO,5.0
SA,NAIR TADIELLO GRACIOSO,5.0
CL,MAREZINHA,5.0
JT,JARDIM FONTALIS I,5.0
MP,PROJETO DE VIDA,5.0
BT,SAO LUIS GONZAGA,5.0
SM,ANTONIO ASSUNCAO FERREIRA,5.0
MP,ESPACO VIDA CRIATIVA II,5.0
MP,INFANCIA FELIZ III,5.0
SM,ARCO IRIS ENCANTADO,5.0
IQ,PRO-EDUCAR,5.0
PJ,APRENDENDO A VIVER,5.0
PE,VOVO BERNARDO JOSE FRANCA,5.0
CL,ANTONIO NUNES,5.0
SM,GLEBA SAO FRANCISCO,5.0
SA,CANTINHO COLORIDO I,5.0
PE,SAMIR RACHID SALIBA,5.0
PE,TIQUATIRA II,5.0
IP,JOSE NELSON DE OLIVEIRA E FREITAS,5.0
G,ESPACO KAIROS IX,5.0
FO,CANTINHO DA SERRA III,5.0
IQ,ESPACO BABY,5.0
FO,VILA BRASILANDIA,5.0
IP,CARDECI MARTINS,5.0
SM,NOVO HORIZONTE,5.0
MP,SER FELIZ IV,5.0
CL,NOSSA SENHORA DA PAZ,5.0
SM,GOTA DE ESPERANCA VII,5.0
CL,ESPERANCA PARA TODOS II ARACATI,5.0
PE,PIRILAMPO,5.0
CS,JARDIM BELA VISTA,5.0
PE,CASA DOS INOCENTES,5.0
MP,PEQUENOS BRILHANTES,5.0
PE,VILA FELIZ,5.0
G,CHICA DA SILVA,5.0
PE,DOCE ENCANTO,5.0
CL,CAMINHAR VIII,5.0
MP,ESPACO DA COMUNIDADE IX,5.0
SM,PASSO A PASSO II,5.0
PE,VERA CRUZ,5.0
BT,CASA DA PEQUENA IVETE,5.0
PJ,GRANDE PRINCIPE,5.0
CL,NOSSA SENHORA RAINHA DA PAZ,5.0
PJ,JARDIM DAS ORQUIDEAS,5.0
PE,MONTE SERRAT,5.0
JT,AMAS AGUA FRIA,5.0
JT,JARDIM DO SABER,5.0
CL,SAGRADA FAMILIA,5.0
SM,TEOTONIO VILELA II,5.0
FO,JARDIM CENTENARIO,5.0
JT,PARQUE NOVO MUNDO,5.0
IP,RUGRATS OS ANJINHOS VIII,5.0
BT,REFERENCIA,5.0
IP,RUGRATS - OS ANJINHOS III,5.0
SM,ESTRELA DALVA,5.0
CS,A MAO COOPERADORA - NUCLEO VILA NATAL,5.0
PE,LUIZ DEDA,5.0
PJ,GENTE INOCENTE,5.0
CL,CAMPO LIMPO IV,5.0
MP,TALENTOS DO FUTURO,5.0
PE,MARIA THEREZA DE MELLO MORORO,5.0
MP,RAIO DE ESPERANCA,5.0
PJ,PEQUENINO SONHADOR,5.0
SM,ANA ELISABETH,5.0
PE,ADONAI,5.0
JT,ESTRELA GUIA,5.0
IQ,UNIAO,5.0
SA,MAE OPERARIA,5.0
SM,SONHO DE CRIANCA,5.0
SA,RITA VITORIANA,5.0
JT,CARLOS EDUARDO TUCO,5.0
MP,JARDIM SILVA TELLES,5.0
IP,VILA ALPINA,5.0
IP,OLGA LOPES MALAGRINE,5.0
CL,MACEDONIA III,5.0
CL,SANT ANA,5.0
PE,RECANTO DOS PEQUENINOS,5.0
IQ,REI DAVI,5.0
G,IASHUA,5.0
CL,MEU CANTINHO,5.0
SA,PRISCILLA TELLES SIQUEIRA BALOTTA DE OLIVEIRA UNID XII,5.0
IQ,PEQUENO PRINCIPE,5.0
IP,COLHEITA DE ESPERANCA,5.0
CL,DANDINHA,5.0
SA,PE DE MOLEQUE,5.0
SM,VICTORIA,5.0
FO,FAZENDINHA,5.0
CL,SEMENTINHA DO AMOR,5.0
IP,EURIDICE FERREIRA DE MELO,5.0
SA,VILA MISSIONARIA,5.0
IQ,JOAQUIM ALENCAR SEIXAS,5.0
FO,PARQUE PERUCHE,5.0
MP,HORIZONTES DO SABER,5.0
MP,AVIVAH,5.0
SA,GOVERNADOR MARIO COVAS,5.0
JT,CORACAO DE LEAO II,5.0
IP,CORACAO DE MARIA,5.0
CL,CAMINHAR COM AMOR III,5.0
PJ,MARIO MARTINS,5.0
SM,JARDIM SANTO ANDRE,5.0
IP,CLUBE DAS LETRINHAS,5.0
BT,PRIMEIRO LAPIS III,5.0
SA,CANTINHO DA CRIANCA,5.0
PJ,SEGUNDA ESTACAO,5.0
CL,A NOSSA CASA DA CRIANCA,5.0
JT,LIMA BARRETO II,5.0
SA,MONT SINAI I,5.0
MP,ESTRELAS BRILHANTES,5.0
