dre,school,average_age
SM,AEC PADRE LUIZ SUTTER UNID XXVI SM,57.0
FO,OBRAS SOCIAIS DE VISTA ALEGRE UNID V FO,57.0
G,CASP CENTRAL DE ASS E SOCIEDADES POPULARES XIII,57.0
PJ,SOCIEDADE AMGOS DO DISTRITO DE PERUS SADIP XVI,57.0
CS,ASSOCIACAO COMUNITARAIA DO JARDIM IDEAL - UNID VII CS,57.0
MP,MOVA - ASS COMUNITARIA SANTA LUZIA UNID II MP,57.0
MP,ASS TRES IRMAOS,57.0
PJ,ASSOCIACAO ALEGRIA DE VIVER UNID III,57.0
PJ,SOCIEDADE AMIGOS DO DISTRITO DE PERUS - SADIP,57.0
CL,CARITAS - SAO JOAO BATISTA - PQ LAGO,57.0
IP,UNAS NUCLEO MINA DOIS UNID I IP,57.0
G,CONSELHO COMUNITARIO DA VILA SOLANGE UNID V G,56.0
FO,ASSOCIACAO CANTAREIRA UNID IV FO,56.0
BT,CENTRO COMUNITARIO RAPOSO TAVARES,56.0
FO,ASS CULT ESP BENEF VL NV CACHOEIRINHA - UNID IV FO,56.0
SM,ASSOCIACAO EDUCAIONAL E CULTURAL PADRE LUIZ SUTTER,56.0
CS,ESPACO FORM ASSES E DOCUMENTACAO,56.0
FO,ASSOCIACAO CANTAREIRA UNID VII FO,56.0
FO,ASSOCIACAO CANTAREIRA UNID I FO,56.0
G,AVIB ASS DOS VOL INT DO BRASIL UNID V G,56.0
CL,CARITAS - SAO LUIZ GONZAGA,56.0
SA,ENTIDADE DE PROMOCAO E ASS SOCIAL ESPACO ABERTO,56.0
PJ,CAPES - CENTRO ANHAGUERA DE PROMOCAO E DUCACAO SOCIAL UNID I,56.0
IP,UNAS UNIAO NUCLEOS ASS SOC DE HELIOPOLIS E SAO JOAO CLIMACO,56.0
FO,CENTRO DE ASSISTENCIA SOCIAL DE VILA DIONISIA II,56.0
PJ,SOCIEDADE AMIGOS DO DISTRITO DE PERUS XIV,56.0
G,ASS BENEFICENTE COMUNITARIA BEM QUERER,56.0
CL,CARITAS - SAO LUCAS,56.0
FO,OBRAS SOCIAIS DE VISTA ALEGRE UNID I FO,56.0
FO,CLUBE DE MAES MARIA DAS DORES UNID II FO,55.0
PJ,CAPES CENTRO ANHANGUERA DE PROMOCAO E EDUCACAO SOCIAL UNI IV,55.0
PJ,SOCIEDADE AMIGOS DE PERUS - UNID. IV,55.0
FO,ASSOC BENEF OIKOS UNID VI,55.0
FO,ASSOCIACAO CANTAREIRA UNID XIV FO,55.0
CL,INSTITUTO SOCIAL SANTA LUCIA - UNID VIII - CL,55.0
IQ,COMUNIDADE CRISTA AVIVAMENTO PLENO II,55.0
FO,ASSOCIACAO CANTAREIRA,55.0
CL,CARITAS - SANTA MARIA GORETTI,55.0
CL,INSTITUTO SOCIAL SANTA LUCIA UNID X,55.0
FO,ASSOCIACAO CANTAREIRA UNID XIII FO,55.0
G,ASS BENEFICENTE COMUNITARIA BEM QUERER II,55.0
PJ,SOCIEDADE AMIGOS DO DISTRITO DE PERUS XI,54.0
FO,CENTRO DE ASSISTENCIA SOCIAL DE VILA DIONISIA,54.0
SA,CENTRO COMUN JD AUTODROMO UNID III SA,54.0
CL,ASS MORAD JD SANTA CECILIA,54.0
SM,AEC PADRE LUIZ SUTTER UNID XL,54.0
MP,ASS COM FLORESTAN FERNANDES UNID VII MP,54.0
IQ,COMUNIDADE CRISTA DO AVIVAMENTO PLENO,54.0
SA,SOCIEDADE DE AMPARO FRATERNO CASA DO CAMINHO UNID I SA,54.0
JT,ASS MORADORES ZONA NORTE UNID IV JT,54.0
CL,INSTITUTO SOCIAL SANTA LUCIA - UNID I CL,54.0
SA,ASSOCIACAO CONQUISTANDO UM ESPACO V,54.0
FO,ASS CULT BENEF VL NV CACHOEIRINHA UNID II FO,54.0
MP,CENTRO DE EDUCACAO DA ZONA LESTE XII,54.0
JT,ASS MORADORES ZONA NORTE - NUCLEO JD SAO JOAO,53.0
CL,SOCIEDADE SANTO MARTIRES UNID VIII MB,53.0
FO,ASS SOC CULT MADRE TERESA DE JESUS UNID I FO,53.0
FO,SOC AMIGOS DO DISTRITO DE PERUS - SADIP,53.0
CL,SOCIEDADE SANTO MARTIRES UNID II MB,53.0
CS,ASSOCIACAO COMUNITARIA JARDIM IDEAL - UNID XIII CS,53.0
IP,OBR SOC NS SRA AQUIROPITA - CENT SOC DOM ORIONE,53.0
IQ,OBRA SOCIAL DA PAROQUIA CRISTO RESSUSCITADO,52.0
FO,ASS CULT ESP BENEF VL NV CACHOEIRINHA UNID I FO,52.0
PJ,CAPES CENTRO DE PROMOCAO E EDUC SOCIAL V,52.0
SA,CPDDH FREI TITO DE ALENCAR LIMA UNID V SA,52.0
SA,ASSOCIACAO CONQUISTANDO UM ESPACO IV,52.0
CS,ASSOC CRIA ADOL JOVEM ICARAI - UNI XIII,52.0
FO,ASS CULT ESP BENEF VL NV CACHOEIRINHA - UNID VI FO,51.0
FO,ASSOC BENEF OIKOS UNIDADE VII,51.0
FO,CENTRO COM NOSSA SENHORA APARECIDA UNID II CV,50.0
SM,AEC PADRE LUIZ SUTTER UNID XXXVII SM,50.0
FO,CENTRO COM NOSSA SENHORA APARECIDA UNID FO V,50.0
IP,ASSOCIACAO EVANGELICA BENEFICENTE,50.0
SM,SAPOPEMBA,49.0
SM,ROLANDO BOLDRIN,49.0
G,CASP CENTRAL DE ASS E SOCIEDADES POPULARES,49.0
CL,GUARAPIRANGA - FLORINDA LOTAIF SCHAHIN,49.0
SM,CENTRO INT ED JOVENS E ADULTOS - IGUATEMI I,49.0
IP,UNAS-UNIAO NUCLEOS ASS MORADORES HELIOPOLIS E S JOAO CLIMACO,48.0
FO,ASSOCIACAO CANTAREIRA UNID II FO,48.0
JT,ASS MORADORES ZONA NORTE UNID II JT,48.0
JT,CENTRO INT ED JOVENS E ADULTOS - SANTANA/TUCURUVI,46.0
PE,CENTRO INT ED JOVENS E ADULTOS - ERMELINO MATARAZZO,46.0
CL,UNIAO DE MOR JD ANTONIETA PQ STO ANTONIO UNID III,45.0
PJ,CAPES CENTRO ANHANGUERA DE PROM E EDUC SOCIAL,44.0
CL,CENTRO INT ED JOVENS E ADULTOS - CAMPO LIMPO,43.0
BT,ALUNA JESSICA NUNES HERCULANO,42.0
IP,CLOVIS CAITANO MIQUELAZZO - IPIRANGA,41.0
PE,QUINTA DO SOL,40.0
G,LAJEADO,39.0
IQ,CENTRO INT ED JOVENS E ADULTOS - ITAQUERA,39.0
JT,CENTRO INT ED JOVENS E ADULTOS - VILA MARIA/VILA GUILHERME,37.0
CL,CANTOS DO AMANHECER,35.0
G,INACIO MONTEIRO,35.0
IQ,SANTA ZITA,33.0
G,JAMBEIRO - JOSE GUILHERME GIANETTI,33.0
IQ,AZUL DA COR DO MAR,33.0
MP,PARQUE VEREDAS - JOAO ANTONIO DA SILVA,32.0
MP,VILA CURUCA - IRENE RAMALHO,31.0
IP,INSTITUICAO BENEFICENTE NOSSO LAR,28.0
SM,ROSA DA CHINA,28.0
PJ,PERA MARMELO,28.0
IP,INSTITUTO EFORT DE ACAO SOCIAL CULTURAL EDUCACAO PESQUISA,27.0
PJ,PERUS,27.0
FO,ASSOCIACAO NANY APPLE EM BENEFICIO DO OBESO E DO CARENTE,27.0
JT,ASS FILHAS DE SANTA MARIA DA PROVIDENCIA - AFISMAP,27.0
